SiteID,lat,lon,datum
090113002,41.52417,-72.07667,WGS84
171971002,41.52689,-88.11647,WGS84
191630015,41.53001,-90.58761,WGS84
180890027,41.5466140102171,-87.4264529885057,WGS84
191630018,41.55,-90.60012,WGS84
090092123,41.55056,-73.04361,WGS84
191530059,41.58318,-93.58385,WGS84
560370007,41.59161,-109.22072,WGS84
180890031,41.59851,-87.34299,WGS84
191530030,41.6031697294152,-93.6432075647367,WGS84
191532510,41.60352,-93.7479,WGS84
090050004,41.64486,-73.07908,WGS84
180390008,41.65691,-85.96837,WGS84
191032001,41.65723,-91.50348,WGS84
170312001,41.66211,-87.69647,WGS84
390950028,41.6624364992826,-83.4780631850789,WGS84
170310001,41.67099,-87.73246,WGS84
250051004,41.6837610025707,-71.1691838560411,WGS84
170310022,41.68717,-87.53932,WGS84
170310050,41.70757,-87.56857,WGS84
090032006,41.7425,-72.63444,WGS84
170310076,41.7514,-87.71349,WGS84
170434002,41.77107,-88.15253,WGS84
170313301,41.78277,-87.80538,WGS84
170890007,41.78472,-88.32937,WGS84
090031003,41.78472,-72.63167,WGS84
170311016,41.80117,-87.83195,WGS84
090050005,41.8213648495271,-73.2972401203783,WGS84
190450019,41.82328,-90.21198,WGS84
170316005,41.86443,-87.7489,WGS84
190450021,41.875,-90.17757,WGS84
311570004,41.87685,-103.65656,WGS84
170310057,41.91286,-87.72272,WGS84
170313103,41.96519,-87.87627,WGS84
170310052,41.96549,-87.74993,WGS84
191130040,41.97677,-91.68766,WGS84
191710007,41.98731,-92.65225,WGS84
260910007,41.99557,-83.94656,WGS84
170890003,42.0504,-88.28002,WGS84
170314007,42.06029,-87.86322,WGS84
250132009,42.1054957605761,-72.5971636273627,WGS84
250130016,42.1086635249366,-72.5906487066779,WGS84
170314201,42.14,-87.79923,WGS84
420490003,42.14175,-80.03861,WGS84
261630036,42.18729,-83.1539,WGS84
250130008,42.19438,-72.55511,WGS84
260210014,42.19779,-86.30969,WGS84
171110001,42.22144,-88.24221,WGS84
261630001,42.22862,-83.2082,WGS84
261610008,42.24056,-83.5996,WGS84
250270016,42.2588715038894,-71.7989320570441,WGS84
172010013,42.26308,-89.09277,WGS84
250270023,42.2638962318841,-71.7942163768116,WGS84
260770008,42.27807,-85.54189,WGS84
360130011,42.2907174358974,-79.5884834615385,WGS84
261630015,42.30279,-83.10653,WGS84
261630033,42.30667,-83.14875,WGS84
261630039,42.32334,-83.06847,WGS84
250250042,42.3294201359388,-71.0825201359388,WGS84
261630038,42.33501,-83.10956,WGS84
250250002,42.34887,-71.09716,WGS84
261630016,42.35781,-83.09603,WGS84
250250027,42.3719648883375,-71.0619767493797,WGS84
261630025,42.42306,-83.42626,WGS84
261630019,42.43084,-83.00014,WGS84
250035001,42.4475041068447,-73.2572577796327,WGS84
261250001,42.46306,-83.1832,WGS84
170971007,42.46757,-87.81005,WGS84
360130006,42.49963,-79.31881,WGS84
190130009,42.50154,-92.31602,WGS84
191930017,42.51797,-96.3879,WGS84
191930019,42.52235,-96.40021,WGS84
360010005,42.6422642578125,-73.7546295442708,WGS84
360010012,42.68075,-73.75733,WGS84
550430009,42.6924749063032,-90.6928734582624,WGS84
191970004,42.69539,-93.65598,WGS84
260990009,42.73139,-82.79346,WGS84
260650012,42.73862,-84.53463,WGS84
260050003,42.76779,-86.14858,WGS84
250095005,42.7707839156626,-71.1022659638554,WGS84
560131003,42.84105,-108.73628,WGS84
461270002,42.85097,-96.74733,WGS84
560250001,42.85106,-106.32509,WGS84
330115001,42.8617667307692,-71.8784145384615,WGS84
330150018,42.86254,-71.38017,WGS84
560350705,42.87053,-109.86096,WGS84
500030004,42.88759,-73.24984,WGS84
261390005,42.89445,-85.85273,WGS84
330050007,42.9305073965517,-72.274629637931,WGS84
261470005,42.95334,-82.45623,WGS84
260810007,42.95612,-85.67912,WGS84
260810020,42.98417,-85.67134,WGS84
360290002,42.99328,-78.77153,WGS84
260490021,43.04722,-83.67016,WGS84
360671015,43.0523561782787,-76.0592079405738,WGS84
330150014,43.0753032596685,-70.7480320883978,WGS84
191471002,43.1237,-94.69352,WGS84
330131006,43.13244,-71.4582939202658,WGS84
360551007,43.1461862032086,-77.5481575935829,WGS84
261210040,43.23306,-86.23858,WGS84
560090819,43.4266564583333,-105.385997916667,WGS84
550270001,43.46611,-88.62111,WGS84
560391006,43.47808,-110.76118,WGS84
460990008,43.54792,-96.70077,WGS84
460330132,43.5578,-103.4839,WGS84
260170014,43.57139,-83.89072,WGS84
410250003,43.5892083333333,-119.0489825,WGS84
160010010,43.6003321212121,-116.347891804408,WGS84
500210002,43.60806,-72.98278,WGS84
560050891,43.654365027027,-105.216432972973,WGS84
230050029,43.6602407989691,-70.2687000128866,WGS84
230050015,43.6769885431655,-70.2563153057554,WGS84
230010011,44.08941,-70.21422,WGS84
560050892,44.0984173643411,-105.342878682171,WGS84
